step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
26301.0,0.433,0.507,0.79,0.824,0.889
26401.0,0.429,0.505,0.783,0.819,0.887
26501.0,0.422,0.502,0.788,0.815,0.879
26601.0,0.424,0.498,0.783,0.815,0.877
26701.0,0.418,0.501,0.775,0.812,0.869
26801.0,0.433,0.5,0.77,0.814,0.879
26901.0,0.427,0.494,0.776,0.825,0.869
27001.0,0.433,0.492,0.777,0.812,0.885
27101.0,0.431,0.485,0.777,0.819,0.882
27201.0,0.426,0.496,0.774,0.806,0.872
27301.0,0.424,0.489,0.778,0.819,0.881
27401.0,0.438,0.489,0.773,0.822,0.885
27501.0,0.433,0.483,0.775,0.827,0.886
27601.0,0.43,0.481,0.779,0.815,0.877
27701.0,0.433,0.479,0.773,0.811,0.881
27801.0,0.431,0.486,0.775,0.819,0.888
27901.0,0.434,0.479,0.772,0.828,0.887
28001.0,0.441,0.479,0.772,0.825,0.887
28101.0,0.428,0.483,0.767,0.834,0.891
28201.0,0.428,0.477,0.764,0.813,0.882
28301.0,0.431,0.482,0.764,0.82,0.885
28401.0,0.437,0.484,0.762,0.82,0.883
28501.0,0.43,0.481,0.767,0.809,0.871
28601.0,0.435,0.485,0.77,0.814,0.873
28701.0,0.434,0.484,0.77,0.819,0.876
28801.0,0.431,0.482,0.764,0.819,0.874
28901.0,0.426,0.489,0.771,0.816,0.882
29001.0,0.427,0.49,0.773,0.82,0.885
29101.0,0.433,0.49,0.778,0.818,0.898
29201.0,0.43,0.488,0.776,0.828,0.905
29301.0,0.43,0.485,0.778,0.81,0.893
29401.0,0.432,0.488,0.777,0.809,0.889
29501.0,0.426,0.489,0.783,0.8,0.886
29601.0,0.428,0.487,0.781,0.811,0.887
29701.0,0.429,0.49,0.777,0.807,0.886
29801.0,0.426,0.478,0.776,0.806,0.879
29901.0,0.425,0.48,0.78,0.815,0.891
30001.0,0.424,0.482,0.783,0.808,0.888
30101.0,0.429,0.478,0.78,0.811,0.887
30201.0,0.423,0.474,0.778,0.818,0.88
30301.0,0.412,0.472,0.779,0.817,0.886
30401.0,0.41,0.477,0.78,0.823,0.897
30501.0,0.409,0.468,0.781,0.828,0.89
30601.0,0.416,0.476,0.783,0.832,0.892
30701.0,0.416,0.472,0.778,0.833,0.885
30801.0,0.412,0.47,0.78,0.824,0.885
30901.0,0.408,0.473,0.775,0.834,0.884
31001.0,0.406,0.471,0.778,0.835,0.889
31101.0,0.411,0.465,0.782,0.841,0.866
31201.0,0.409,0.467,0.785,0.848,0.884
31301.0,0.408,0.464,0.783,0.839,0.88
31401.0,0.403,0.461,0.786,0.84,0.874
31501.0,0.41,0.461,0.785,0.841,0.872
31601.0,0.401,0.466,0.782,0.835,0.877
31701.0,0.406,0.469,0.783,0.84,0.876
31801.0,0.402,0.461,0.781,0.839,0.868
31901.0,0.405,0.458,0.786,0.832,0.872
32001.0,0.402,0.469,0.787,0.848,0.87
32101.0,0.402,0.462,0.779,0.839,0.873
32201.0,0.397,0.469,0.783,0.826,0.87
32301.0,0.4,0.465,0.788,0.832,0.867
32401.0,0.396,0.456,0.787,0.836,0.871
32501.0,0.393,0.462,0.79,0.825,0.873
