step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
36401.0,0.35,0.431,0.763,0.847,0.922
36501.0,0.351,0.444,0.766,0.855,0.919
36601.0,0.351,0.443,0.768,0.861,0.911
36701.0,0.356,0.447,0.771,0.863,0.912
36801.0,0.35,0.452,0.773,0.859,0.921
36901.0,0.35,0.454,0.777,0.869,0.911
37001.0,0.353,0.454,0.779,0.864,0.909
37101.0,0.354,0.464,0.78,0.868,0.912
37201.0,0.357,0.468,0.781,0.867,0.915
37301.0,0.355,0.464,0.784,0.868,0.913
37401.0,0.353,0.464,0.79,0.863,0.913
37501.0,0.354,0.472,0.786,0.864,0.915
37601.0,0.354,0.479,0.791,0.861,0.908
37701.0,0.352,0.478,0.795,0.875,0.903
37801.0,0.355,0.482,0.794,0.871,0.909
37901.0,0.356,0.487,0.794,0.876,0.906
38001.0,0.361,0.488,0.796,0.872,0.907
38101.0,0.36,0.49,0.803,0.867,0.911
38201.0,0.357,0.497,0.801,0.871,0.912
38301.0,0.361,0.502,0.804,0.87,0.918
38401.0,0.364,0.499,0.804,0.873,0.909
38501.0,0.363,0.504,0.806,0.863,0.912
38601.0,0.363,0.499,0.805,0.873,0.916
38701.0,0.358,0.503,0.806,0.874,0.915
38801.0,0.366,0.505,0.807,0.876,0.911
38901.0,0.361,0.51,0.806,0.869,0.9
39001.0,0.363,0.515,0.806,0.877,0.91
39101.0,0.36,0.517,0.808,0.878,0.913
39201.0,0.362,0.517,0.81,0.874,0.914
39301.0,0.365,0.515,0.812,0.867,0.91
39401.0,0.364,0.518,0.814,0.865,0.914
39501.0,0.368,0.514,0.813,0.867,0.918
39601.0,0.371,0.521,0.812,0.872,0.911
39701.0,0.37,0.52,0.813,0.873,0.913
39801.0,0.367,0.521,0.813,0.872,0.9
39901.0,0.371,0.521,0.812,0.869,0.917
40001.0,0.046,0.047,0.043,0.044,0.057
40101.0,0.105,0.051,0.197,0.352,0.318
40201.0,0.122,0.048,0.235,0.473,0.486
40301.0,0.13,0.051,0.272,0.529,0.599
40401.0,0.144,0.056,0.293,0.579,0.675
40501.0,0.15,0.061,0.338,0.617,0.708
40601.0,0.161,0.064,0.357,0.608,0.736
40701.0,0.167,0.075,0.37,0.642,0.766
40801.0,0.176,0.075,0.391,0.652,0.778
40901.0,0.192,0.078,0.408,0.66,0.792
41001.0,0.203,0.086,0.417,0.682,0.799
41101.0,0.213,0.095,0.43,0.7,0.822
41201.0,0.218,0.099,0.439,0.723,0.84
41301.0,0.233,0.106,0.456,0.732,0.844
41401.0,0.236,0.116,0.463,0.735,0.844
41501.0,0.238,0.117,0.475,0.749,0.86
41601.0,0.244,0.122,0.486,0.745,0.858
41701.0,0.247,0.128,0.495,0.761,0.855
41801.0,0.25,0.14,0.509,0.772,0.867
41901.0,0.259,0.145,0.512,0.769,0.868
42001.0,0.261,0.151,0.52,0.772,0.879
42101.0,0.261,0.158,0.53,0.775,0.874
42201.0,0.267,0.167,0.538,0.796,0.889
42301.0,0.273,0.174,0.547,0.793,0.895
42401.0,0.272,0.186,0.557,0.786,0.892
42501.0,0.277,0.191,0.555,0.793,0.89
42601.0,0.283,0.206,0.565,0.794,0.89
42701.0,0.289,0.212,0.571,0.798,0.894
42801.0,0.292,0.213,0.578,0.808,0.897
42901.0,0.293,0.219,0.588,0.801,0.898
43001.0,0.299,0.227,0.592,0.803,0.899
43101.0,0.302,0.227,0.596,0.798,0.892
43201.0,0.3,0.24,0.596,0.803,0.885
43301.0,0.297,0.246,0.604,0.807,0.89
43401.0,0.303,0.251,0.609,0.81,0.892
43501.0,0.301,0.252,0.61,0.805,0.896
43601.0,0.308,0.262,0.614,0.814,0.895
43701.0,0.309,0.263,0.621,0.816,0.908
43801.0,0.308,0.27,0.625,0.815,0.907
43901.0,0.314,0.274,0.629,0.812,0.907
44001.0,0.317,0.275,0.631,0.818,0.913
44101.0,0.318,0.277,0.639,0.815,0.904
44201.0,0.318,0.282,0.643,0.819,0.898
44301.0,0.314,0.283,0.652,0.818,0.899
44401.0,0.32,0.293,0.656,0.817,0.905
44501.0,0.32,0.29,0.661,0.82,0.894
